DEBUG 2016-07-20 11:57:24,713 utils 64438 140077326898944 (0.235) QUERY = 'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = %s' - PARAMS = ('sff@qq.com',); args=('sff@qq.com',)
DEBUG 2016-07-20 11:59:36,140 utils 64438 140077326898944 (0.001) QUERY = 'SELECT "release_project"."id", "release_project"."name", "release_project"."start_cmd", "release_project"."stop_cmd", "release_project"."target", "release_project"."repos", "release_project"."port", "release_project"."description" FROM "release_project" WHERE "release_project"."name" = %s' - PARAMS = ('renren-licai',); args=('renren-licai',)
DEBUG 2016-07-20 12:00:51,891 utils 64438 140077326898944 (0.000) QUERY = 'SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = %s AND "django_content_type"."model" = %s)' - PARAMS = ('release', 'project'); args=('release', 'project')
DEBUG 2016-07-20 12:00:51,895 utils 64438 140077326898944 (0.000) QUERY = 'SELECT "auth_permission"."id", "auth_permission"."name", "auth_permission"."content_type_id", "auth_permission"."codename" FROM "auth_permission" WHERE ("auth_permission"."content_type_id" = %s AND "auth_permission"."codename" = %s)' - PARAMS = (8, 'release_test_project'); args=(8, 'release_test_project')
DEBUG 2016-07-20 12:00:51,901 utils 64438 140077326898944 (0.000) QUERY = 'SELECT "guardian_userobjectpermission"."id", "guardian_userobjectpermission"."permission_id", "guardian_userobjectpermission"."content_type_id", "guardian_userobjectpermission"."object_pk", "guardian_userobjectpermission"."user_id" FROM "guardian_userobjectpermission" WHERE ("guardian_userobjectpermission"."content_type_id" = %s AND "guardian_userobjectpermission"."user_id" = %s AND "guardian_userobjectpermission"."permission_id" = %s AND "guardian_userobjectpermission"."object_pk" = %s)' - PARAMS = (8, 2, 60, '1'); args=(8, 2, 60, '1')
DEBUG 2016-07-20 12:05:12,089 utils 64438 140077326898944 (0.008) QUERY = 'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = %s' - PARAMS = ('root@qq.com',); args=('root@qq.com',)
DEBUG 2016-07-20 12:05:16,155 utils 64438 140077326898944 (0.000) QUERY = 'SELECT "auth_permission"."id", "auth_permission"."name", "auth_permission"."content_type_id", "auth_permission"."codename" FROM "auth_permission" WHERE ("auth_permission"."content_type_id" = %s AND "auth_permission"."codename" = %s)' - PARAMS = (8, 'release_test_project'); args=(8, 'release_test_project')
DEBUG 2016-07-20 12:05:16,163 utils 64438 140077326898944 (0.000) QUERY = 'SELECT "guardian_userobjectpermission"."id", "guardian_userobjectpermission"."permission_id", "guardian_userobjectpermission"."content_type_id", "guardian_userobjectpermission"."object_pk", "guardian_userobjectpermission"."user_id" FROM "guardian_userobjectpermission" WHERE ("guardian_userobjectpermission"."content_type_id" = %s AND "guardian_userobjectpermission"."user_id" = %s AND "guardian_userobjectpermission"."permission_id" = %s AND "guardian_userobjectpermission"."object_pk" = %s)' - PARAMS = (8, 1, 60, '1'); args=(8, 1, 60, '1')
DEBUG 2016-07-20 12:05:16,187 utils 64438 140077326898944 (0.000) QUERY = 'BEGIN' - PARAMS = (); args=None
DEBUG 2016-07-20 12:05:16,204 utils 64438 140077326898944 (0.000) QUERY = 'SELECT "release_project"."id", "release_project"."name", "release_project"."start_cmd", "release_project"."stop_cmd", "release_project"."target", "release_project"."repos", "release_project"."port", "release_project"."description" FROM "release_project" WHERE "release_project"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG 2016-07-20 12:05:16,210 utils 64438 140077326898944 (0.001) QUERY = 'SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE "django_content_type"."id" = %s' - PARAMS = (8,); args=(8,)
DEBUG 2016-07-20 12:05:16,221 utils 64438 140077326898944 (0.001) QUERY = 'INSERT INTO "guardian_userobjectpermission" ("permission_id", "content_type_id", "object_pk", "user_id") VALUES (%s, %s, %s, %s)' - PARAMS = (60, 8, '1', 1); args=[60, 8, '1', 1]
DEBUG 2016-07-20 12:07:32,750 utils 24173 139784747443968 (0.008) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
DEBUG 2016-07-20 12:07:32,774 utils 24173 139784747443968 (0.011) QUERY = 'SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"' - PARAMS = (); args=()
